topic,sentiment,text
i,0,@HeyNurseKat @MikeLadano @Browfilla @arkellsmusic @epdevilla Have no fear... Pfizer will come out with a pill to treat the adverse effects of the vaccine
c,-,@Surgeon_General What about AstraZeneca I got two doses of it and want my third to be the same one why isn’t this mentioned
c,0,"Pregnancy &amp; COVID: &gt; evidence of an association with stillbirth.  ""Implementing evidence-based COVID-19 prevention strategies, including #vaccination before or during #pregnancy, is critical to reduce the impact of #COVID19 on stillbirths.""  https://t.co/v3egGqZoYd via @CDCgov"
c,+,@edmontonjournal In 19 months not a single student in Edmonton has had serious covid symptoms. Pfizer applied to the courts to have the covid data kept secret for 55 years. The Edm Journal and other media are suppressing information. Sick!
g,-,"@nicnac_14 Lots of red flags; adverse reactions hidden, treatments &amp; protocols ignored, scientists and doctors silenced, its experimental, Pfizer has immunity and secret contracts with governments... and so on..."
c,0,A plane carrying the first batch of Pfizer's pediatric COVID-19 vaccine has landed in Canada.
c,0,"Get vaccinated! Walk-in today for your first or second dose of a Pfizer or Moderna vaccine at these locations. For clinic hours, visit:  https://t.co/tbhJPeyptu https://t.co/qu6WzjJHX2"
c,0,"@stuart_braun In the tweet right under this one, I update the province's vaccination rate. I don't have enough space in that tweet to do it altogether: https://t.co/CkF0DYrgYI"
i,-,Double-vaccinated Manitoba Opposition leader tests positive for COVID-19 https://t.co/pOdO0P7uZQ
p,0,ICYMI: @GovCanHealth has authorized the use of the Pfizer-BioNTech Comirnaty #COVID19 vaccine in children ages 5 to 11: https://t.co/JVIJT9AqAn.   Visit https://t.co/gkNHKteeY7 to learn more about the next phase of Manitoba's vaccine campaign. #ProtectMB #COVID19MB #Manitoba https://t.co/i0nkK5js4J
c,0,@denty_shauna @ctvedmonton No this is reward for a choice I hate Chappin’s in many ways but agree rewarding preferred behaviour is better however I don’t agree with forced vaccination I do agree with this in ways still will never see me knowingly buy their Ice cream.
o,0,"@reedgalen That's a little bizarre...connecting her vaccination status to her DNA, then I remembered how the vaccine alters our DNA and it all started making sense."
c,0,@Masiosaurio @Timcast Not wanting this particular vaccination DOESN’T make you Anti Vax! It DOES make you pro choice though
c,0,"Estimated number of Manitobans (all ages) with:  Zero COVID-19 vaccination doses: 330,055 (23.80%) One COVID-19 vaccination dose: 36,603 (2.64%) Two COVID-19 vaccination doses: 1,020,280 (73.56%)"
p,+,"The tiniest of movement towards my ability to see my dad/brother in HK: Sinovac now approved down to age 3 in HK so my brother is finally eligible (he’ll be 10 soon) and Canada as of Nov 30 recognizes Sinovac for full vaccination status. Still many barriers but, progress."
c,0,"If a child has recently received another vaccine, like influenza, Hinshaw says it is best to wait 14 days before getting the COVID vaccine. She says this spacing allows them to watch for potential adverse effects."
g,-,"It's unravelling! Governments have spent $ Hundreds of Billions on these @pfizer @moderna_tx vaccines and where are we today after 2 years of lock downs,restrictions removing all aspects of our own self autonomy? They did not"
g,0,"Now that @GovCanHealth approved vaccines for 5 to 11 year olds, I booked my vaccine appointment for my 11 year old. Looks like we're both gonna be tracked by @pfizer or is it @BillGates or is it 5G?  Can someone help me who is gonna be controlling me? #VaccineSafety #cdnpoli"
o,0,"@MLarmon @Billius27 Unless you have data on adult ( in fact, 50+ ) vaccination rates, by province, the comparison of impact on hospitalization is meaningless.  What matters far more than 12+ uptake is 50+ uptake."
c,0,"What a strange take.  NDP-run British Columbia is also vaccinating kids at clinics.  Why?  Because parents want to be there.  “We’ve had a strong signal from parents, they want to be present for this,” said Dr. Penny Ballam.  https://t.co/xfdGB03Gf5  #ableg https://t.co/85TaORbouA"
c,-,"@RachelNotley Yes we Vax for other viruses and diseases, however Covid is of a group that does not have great success in treating with a vaccine. Yes I believe this Vax helps, but it is not magic bullet and never will be Time is the only constant here, it will take time for it to go away"
o,0,She said there’s a thorough process before they report a death as a Covid death
o,-,@DFisman Same. Our kids are on their third colds already this season &amp; spread it to other family members easily at home. 🤞 we see good vaccination rates with them as we did with adults.
c,0,Vaccination clinics will be held at the Herman Prior Centre on Wednesdays from 11 a.m to 6 p.m. https://t.co/7thfeI79mv
i,0,"Dr. Garg, you've posted several tweets highlighting correlation between obesity, COVID-19, and poor health outcomes. Do you think a sincere, concerted effort to tackle the obesity issue (public health AND health care) could have an impact on health outcomes? 🤯🤯🤯  @agargmd https://t.co/5tdPfVIrmq"
3,0,@Aisha_MakeItSo Did you get 2 AZ? My husband did and managed to book an appointment at Shoppers for December.   I got AZ + Pfizer and am unclear on when I qualify for a booster.
i,-,"The child has complex medical conditions (Covid was a contributing factor in the death) but it doesn’t diminish the tragic loss, Hinshaw says"
p,0,Watch live as B.C. officials provide COVID-19 vaccination update. Province says will start vaccinating children aged five to 11 next week. https://t.co/6Nx2PofQrl
c,0,@levecque_denise Hello! Great question. @OttawaHealth's website has a vaccination page with information: https://t.co/1GFWoYaNOY
c,0,@JordanNotta Kinda… they did a big vaccination push and there are shirts about it.
c,+,The first doses of the Pfizer #vaccine for children aged 5 to 11 arrived last night. 💉  This is another major step in the fight to defeat COVID-19! 💪🏻 https://t.co/afeCWl2NEM
c,0,Quebec parents can now schedule Pfizer-BioNTech vaccine for kids aged 5–11 https://t.co/5pnREt9D8W
c,0,$BNTX Follow-Up Data From Phase 3 Trial of Pfizer-BioNTech COVID-19 Vaccine Support Safety and High Efficacy in Adolescents 12 Through 15 Years of Age https://t.co/Kj3V40hLTM
o,0,@waynefrommtl They are using the Pfizer vaccine.
g,0,WATCH LIVE: Alberta officials provide update on COVID-19 vaccine rollout for kids. #YEG #COVID19AB https://t.co/KRrRBvBoU3
o,0,I have not once laughed at an American producing proof of their vaccination https://t.co/XvgqubO7No
p,0,“W/ Health Canada approving Pfizer’s COVID-19 vaccine for children aged five to 11… Doctors Manitoba will be holding a town hall to answer questions about the vaccine…The virtual town hall will be held online November 30 at 7 p.m. and broadcast live on YouTube.” @louis_riel_sd https://t.co/7wn3aQ5Ja2
c,0,"@gkc_payroll @fagstein @OonaOShea Fair points, I prefer the vaccination center 1) going to same centre as her flu shot so she’s familiar with it 2) they operate like a well-oiled machine (not sure how schools will manage) 3) taking her on a Sat, in case of any side effects, she can rest on the weekend. Good luck!"
3,0,Carefirst Seniors &amp; Community Services Association in Scarborough [Toronto health unit] 240 3rd dose Pfizer or Moderna spots added First available date is 2021-11-23 Book at https://t.co/SgrwBViekT See https://t.co/4qFA9CynGL for detailed availability #COVID19Vaccine #vhcON
p,0,Kudos to @VeraEtches @JimWatsonOttawa and all involved @OttawaHealth for getting the 5-11 vaccine booking system working so well shortly after Heath Canada approval for Pfizer.  Both my kids are booked for this Friday! #GetVaxxed #VaccinesWork
g,-,"Heather Scoffield: Lots of Canadians still need COVID-19 benefits. Politicians, do your jobs https://t.co/0Y2nxCOUVX"
i,0,"@chip_wagon @mommy2sassykids @BogochIsaac Also,  myocarditis can be caused by COVID and In fact 6x more likely than vaccine even though both are very rare. https://t.co/qj8IoEWzXT"
c,0,"Beginning today, Nov. 22, 2021, all essential care partners will be required to show proof of full vaccination status upon every entry to an acute care facility.   Please visit https://t.co/NlGrDtREEY for more information. #COVID19MB #ProtectMB #Manitoba"
o,0,When do Citizens Resist AI-Usage in Public Policy? Evidence from the COVID-19 Crisis @SSRN https://t.co/lyUEhgaA5N
c,0,@cockyweer It’s been misleading since phase 3 trials came out last year. Imagine if Pfizer did their phase 3 trials earlier this year. They would have failed along with Curevac
i,-,"I did, but it was NOTHING compared to my reaction to getting #COVID19 last year.   https://t.co/7LcGt53jH9 https://t.co/3jNIq7Yde4"
c,0,How many doses of pediatric COVID-19 vaccines are in Sunday's shipment from Pfizer? @jyduclos doesn't specify. Still says 2.9M doses will be in Canada by the end of the week.   More: https://t.co/UMYudH5MvK #ctvqp https://t.co/Jw95wKqJhb
p,0,"🔔 Attention #VaughanWoodbridge parents!  Starting tomorrow, families in #YorkRegion can book an appointment for Pfizer-BioNTech #COVID19 vaccine for their children between 5 and 11 years of age.  https://t.co/O4P2wieRff https://t.co/NC6N4BKDOB"
c,-,"@SizzlinSparky @kissmypolitcass @JamesWoods888 @JohnTory There is no data. Pfizer's test that was somehow approve used only 2300 children. There were no illness in the control group, there were no adverse reactions.  The study showed the vax to be useless. They also said they will study the  adverse reactions after approval. Will send"
o,0,Warehouse Team Member - $100 Sign-on bonus w/ proof of vaccination from Amazon #Amazon #Hiring https://t.co/ieTVGdjDeg
o,0,"Thousands of parents today booked their children for vaccination with no fuss or drama, just like they have over and over again for routine vaccinations.  Maybe that's the story."
c,0,@GaryGrey8108013 @AndrewJLowry @AZannaman @BNODesk “Delaying or refusing vaccination carries serious risks. Albertans who are not fully vaccinated account for 80% of patients in hospital and 90% of patients in ICU with COVID-19. It may also extend the need for public health measures to continue.” https://t.co/qXigzMGpRu
i,-,@gtlem @CandiceBergenMP Another person's cholesterol count is really not going to make a difference to public health. Their COVID vaccination status will.
i,-,@cagey2577 @silla_de_pensar @DianeDi18 @drsusanshaw @Covid19Critical Ok... So the bull of the deaths happened in January and February before vaccination coverage and most areas in the US had 3+ months before there was any impact from COVID in 2020.  Use some basic logic before you repeat the next dishonest talking point.
3,0,"@Scott_755 If you are bivaxxual like me (1st dose AZ, 2nd dose Pfizer), yup. I had my 3rd shot 2 months after my second."
c,0,@FaheemYounus So in Pakistan mostly ppl got sinopharm and sinovac .. should they get Pfizer or moderna/astra zenica as third dose after 6 months of second dose ?? @fslsltn @pdmasindhpk @WHOPakistan @NadraPak
c,+,@ProvoGal01 Pfizer made his life care free.
i,0,Hinshaw says those who are 12-29 have an increased risk for myocarditis for Moderna compared to Pfizer and advises those in that age group to be vaccinated with Pfizer instead. There is no ongoing risk if you are already vaccinated.
3,+,"My third dose today. Many do not have vaccines around the world. I am aware of my privilege- but protecting myself protects others, the doses in our freezers cannot be donated, that needs to be done federally. I would take any dose, but offered choice and I chose Moderna."
i,-,"Gray says North Zone had 45,000 cases of Covid. 20 per cent of those diagnosed will have long-term symptoms. Approximately 9,000 cases. Will you commit to supporting those patients?"
c,-,"@paguillemin @MopeScott @JL_Braden @ProfSmithSask Re: ""rare occurrences of myocarditis following the second injection Pfizer/Moderna COVID-19 vaccines, the CDC released information (that) most of these myocarditis events happened in teens and young adults, and the majority of the cases were mild &amp; cleared up on their own"". J.H."
p,0,"Now that children ages 5-11 are eligible for the #COVID19 vaccine, here are some tips for parents and children to help make their vaccination appointment a bit easier. #COVID19MB #ProtectMB #Manitoba #ItDoesntHaveToHurt https://t.co/5UkeV7cTj2"
c,-,Austria's problem is they have a low vaccination rate and that's why they need to go into another lockdown!  #antivaxxers #antivax #antivaxxidiots #VaccinesSaveLives #UnitedNonCompliance https://t.co/SctEI8rRTK
c,0,Cloverdale Mall in Toronto [Toronto health unit] 180 2nd dose Pfizer or Moderna spots added First available date is 2021-11-23 Book at https://t.co/m7DvqKptvh See https://t.co/egCHzJUDZI for detailed availability #COVID19Vaccine #vhcON
i,-,"""Prolonged schooling disruptions, social isolation, and reduced access to academic and extra-curricular resources have had a profound impact on the mental and physical well-being of children."" Statement from Council of Chief MOHs on #COVID19 vaccine   https://t.co/zs2ZUXeYva https://t.co/GWjyILMQty"
i,-,"Gray says North Zone had 45,000 cases of Covid. 20 per cent of those diagnosed will have long-term symptoms. Approximately 9,000 cases. Will you commit to supporting those patients?"
c,+,"Feeling thankful, excited, and relieved to have booked a vaccination appointment for my nine-year-old daughter. #GetVaccinated"
c,0,I’ve seen some social media posts about anti-vaxx protests planning to target vaccination clinics for kids.    I can’t think of a better way to find out exactly where the limits of Canadian politeness end.
c,0,@ProvoGal01 Pfizer made his life care free.
3,0,"@FourWinns298 or at least, maybe Pfizer and Moderna figured it would be 3 doses - but that was not communicated to the population at large initially"
p,0,WATCH LIVE: Alberta reveals COVID-19 vaccine rollout plan for kids. https://t.co/aOaI0dLAxB
3,0,"@singingsox @mbur82 @EpiEllie @1yearofletters Vaccinated and boosted, you are as protected as you will ever be against both infection and transmission to others. Why do you think masking shortens the pandemic? It can only end with population immunity, by vaccination or infection/recovery."
c,0,"Mitchell Field Community Centre, East Bldg, Main Ent. in Toronto [Toronto health unit] 314 2nd dose Pfizer or Moderna spots added First available date is 2021-11-25 Book at https://t.co/m7DvqKptvh See https://t.co/egCHzJUDZI for detailed availability #COVID19Vaccine #vhcON"
i,-,"@LucasH00d1 @nationalpost WRONG! 26% of Covid cases are breakthrough, not ""almost half"". The unvaccinated are the ones who may end up in ICU beds. Check the stats. https://t.co/k3atvd8n27 https://t.co/YrXlvzsotj"
o,0,@melissajonesTO I actually called a couple because their booking forms didn't mention anything about the paediatric Pfizer despite what the Ontario Covid website said.  They sounded mystified as to why the site listed them and confirmed that they didn't receive any doses to give out rn.
c,-,"""A CRAZY MESS""!! Pfizer Whistleblower SLAMS Vaccine Trials https://t.co/kXBtdN8rn4 via @YouTube"
g,0,"Conservatives to raise questions of privilege about House clerk Robert and Hill-mandated vaccination rules, say Conservative sources https://t.co/glnBOPw7lp #cdnpoli @abbas_rana1 https://t.co/pmks46CXph"
c,+,"Hm. Saturday night, my husband and I couldn’t enter the outdoor All is Bright festival until someone scanned our vaccine QR codes. Yet yesterday, I flew to Ottawa, via Montreal, and no one asked for proof of vaccination for either flight. Which leaves me perplexed."
p,+,"The tiniest of movement towards my ability to see my dad/brother in HK: Sinovac now approved down to age 3 in HK so my brother is finally eligible (he’ll be 10 soon) and Canada as of Nov 30 recognizes Sinovac for full vaccination status. Still many barriers but, progress."
c,+,"“It’s very encouraging to see that many thousands of people jumping on booking appointments within hours of it being available.""  https://t.co/wO0un7rSq1"
c,0,Manitoban hospitals require vaccination from essential care partners https://t.co/PUwjhbs04I
3,0,@Mistywoman1 I have a bit of a sore arm after Moderna booster shot but that all -no problemo
g,0,Got questions about the impacts of COVID on the City budget? How has the City avoided increasing property taxes to cover the lost revenue and increased costs due to the pandemic? Reply with your questions and we’ll answer the top ones later this week. #yegcc #yegcitybudget https://t.co/JGludvS1dT
3,0,"@singingsox @mbur82 @EpiEllie @1yearofletters Vaccinated and boosted, you are as protected as you will ever be against both infection and transmission to others. Why do you think masking shortens the pandemic? It can only end with population immunity, by vaccination or infection/recovery."
p,0,"2/2 Please note that vaccination is not required for a child to attend school. Thank you to all our families for your ongoing support as we continue to face the challenges of this pandemic together, with the aim of keeping our students and staff safe, and our schools open. https://t.co/HoJdGUFkiR"
g,-,@RichardHanania Trump did the bare minimum that would be expected and fought himself every step of the way.     Moderna had the vaccine formulized in Feb or March 2020 based on the available strain data.  You don't think another country would have helped them commercialize it?  Or Pfizer?
p,0,"LIVE in one hour: Kenney, Copping and Hinshaw announce kids COVID-19 vaccine rollout https://t.co/uOhCJHCHZK https://t.co/VZP7pIGONm"
p,0,"What a strange take.  NDP-run British Columbia is also vaccinating kids at clinics.  Why?  Because parents want to be there.  “We’ve had a strong signal from parents, they want to be present for this,” said Dr. Penny Ballam.  https://t.co/xfdGB03Gf5  #ableg https://t.co/85TaORbouA"
g,0,@MBGov @roussin_brent As an employee of an indoor sports place I’m curious to know what kind of proof will be available to parents of kids 12-17 to show proof of at least 1 dose of vaccination?
o,-,Merkel's husband blames Germans' laziness for low vaccination rate https://t.co/mbk3U0Al08 https://t.co/18X8fU7usb
o,-,@LoranHayden @LittleGoatCR @AbbyKadebby @Darcy55555 @JustinTrudeau @erinotoole @JCCFCanada They do for yourself and no one else and even then you can still be hospitalized. Then you have the side affects while Pfizer wants to protect themselves till 2076. Why 2076? You following?
c,0,"@stuart_braun In the tweet right under this one, I update the province's vaccination rate. I don't have enough space in that tweet to do it altogether: https://t.co/CkF0DYrgYI"
o,0,"BREAKING: A group of children in Toronto were the first in Canada to receive a dose of the recently approved Pfizer pediatric COVID-19 vaccine, local officials say. https://t.co/xOyO66pI8P"
i,0,"@smerconish ""Fully"" is meaningless.. a category that *Does Not Exist*  What you're really asking is: A) When should we feel comfortable with living our lives B) When does vaccination have a measurable effect on metrics  A: For a few months after 2nd Dose; for an unknown period after 3rd"
c,0,"More than 15,000 appointments were made for Manitoba kids aged 5-11 to get vaccinated in the first seven hours of the province offering vaccination slots Monday morning. Abigail Turner reports on the plan to get Manitoba children vaxxed. https://t.co/gnPMNPTJWJ"
o,0,"Would you rather live in a place where you have no idea of what covid is, like Florida, or would you rather live in North Korea where its a authoritarian state?"
i,0,"Hinshaw says before they publicly report any COVID death in someone under 18, they conclude a thorough review process.   The same process is done for those deaths where there is additional uncertainty as well."
c,0,"@TaraElena22 @Messi27632373 @RSBNetwork Except they didn't. Pfizer did it first and it had nothing to do with TFG OR ""warp speed"". They did it independently because they saw a need...and potential to make a LOT of money. https://t.co/ZnCrPtthvo"
c,0,$MRNA Moderna to Present at Upcoming Investor Conferences in December 2021 https://t.co/gni34bBbit
3,0,@CanEmbPH So international students from the Philippines who’ve received two doses of Sinovac do not need to quarantine anymore? Will they be eligible for booster shots when they arrive?
c,0,"@usykM @AcidReign10 @ctvedmonton With the benefit of hindsight I would have waited for the Pfizer, as it ended up only being a few weeks before it was available and was the safer option. And of course, AZ is no longer used in Canada because we have safer options."
g,0,@MikeGrant262 @BallouxFrancois It’s still now raging in Europe because of low vaccination rates in some countries and loosening of all restrictions. Austria is in lockdown and we aren’t of the woods just yet. You think you can just wish this virus away?
i,-,@daxtonbrown @maddenifico You do realize that this is all because of covid and is affecting the whole world the same way right?   By the way what is the Republican platform?
c,-,@LitigationGuy Let me recap: - vaccinated get sick - vaccinated transmit  So conditioning access to public spaces on vaccination status doesn't mean those spaces are safe.  Why would you violate rights and destroy lives for in imperfect policy? @JB_Goldstein
c,-,Gravitas: Revealed: How Pfizer blackmails countries for shots https://t.co/wbocCnngNY via @YouTube
c,0,Vaccines will let kids be kids again! Children in Canada account for 20-30% of all new COVID cases causing them to miss out on so much.  This Pfizer COVID vaccine for the 5-11s will ↓ school closures and ↑ the #  of extracurriculars kids need for healthy development. https://t.co/tqD1L4NNb3
i,0,Manitoba's COVID-19 numbers for November 23 with test positivity rates and hospitalizations rising. https://t.co/XIWV26y2jY
g,0,"@christianboutin It's hard to find.  By the way, I have asked again and again here what the COVID protocol is in Quebec. Doctors are such minions here, all in lockstep, that there has to be one protocol everyone follows in hospitals. No answer."
c,0,"Hamilton public health says its vaccine strategy was built in consultation with @mch_childrens in #hamont.  @cityofhamilton says it's prepared to vaccinate the 42,000 local children eligible to receive the Pfizer-BioNTech COVID-19 vaccine.  #hamont  https://t.co/dFUcOAFDth"
o,0,@CMOH_Alberta Are you gonna talk about how Covid is airborne?
o,0,"@cagey2577 @silla_de_pensar @DianeDi18 @drsusanshaw @Covid19Critical Why are you so oblivious. There are tons of ways the grifters separate you from your hard earned money selling you something won't help.  Is Pfizer profiting? Sure they are, but the data we have shows these vaccines work, but you are chosing to ignore what is right infront of you"
g,0,"The NACI discussion and advice around the 5-11 vaccination is quite impressive IMO.  It seems like a well reasoned appraisal of the facts as we know them, and an honest acknowledgment of the unknowns.  #covid19ontario  https://t.co/1ZryfQ9IMh"
o,0,"Quick reminder, as Henry ""warns"" about our knowledge gap concerning #LongCovidKids outcomes (Nov 16, 2021 comments), that this has been a worry for nearly two years, but she had us all ASSUME children would be fine. For Henry, kids are merely a term in her calculations...  👇 https://t.co/9LJ6SNihXB"
p,0,A children's COVID-19 vaccine is now approved in Canada. What do we know about it?   CBC News https://t.co/KiEX7cABGW
p,0,"Local COVID-19 Vaccine Status Report – Leeds, Grenville &amp; Lanark District Health Unit - November 23, 2021  Vaccination of Children Ages 5 to 11 – starting Friday, November 26th  https://t.co/nvHD1GR5x6"
i,0,Vaccination policy dogs Erin O’Toole as Conservative MP tests positive for COVID-19 https://t.co/0TvKkmUi5M
3,0,"📢People aged 40-49 can now make an appointment online for the Covid-19 booster.  If it's been five months since your second dose, you'll be able to book your booster for when you reach six months.  Book online ⬇️⬇️ https://t.co/HHDY6woMHK https://t.co/PQ2eXdBEy8"
o,0,"@Graeme_Harfman @kpvsmom Yup. Page 19. ""The safety and efficacy of COMIRNATY in pregnant women have not yet been established."" https://t.co/ORsmMDZ240 https://t.co/kMsvlbGJQ4"
3,+,"I had Pfizer booster, and only slightly off-colour next day. Then fine. Xx 👍🏻 https://t.co/hIaChfMuk5"
c,0,The Hub - Mid Scarborough in Scarborough [Toronto health unit] 194 2nd dose Pfizer or Moderna spots added First available date is 2021-11-22 Book at https://t.co/XsOMsX4WEw See https://t.co/4qFA9CynGL for detailed availability #COVID19Vaccine #vhcON
3,+,"@DanRather @Sarahghalin I'm eligible for my third Pfizer on December 20th and while some might think it's not possible to be excited about getting a needle, there it is marked down on the calendar!  I'm heading to Gran Canaria, Canary Islands, in February and will be triple vaxxed! #Pumped #TravelSafe https://t.co/7CQM6iT2Lw"
o,0,And the truth comes out. https://t.co/sFNI204EyL
c,0,"@pfohl @VincentRK More granular data would help (vaccination date, serostatus etc.)"
g,-,"Never mind the lives you’ve sacrificed for the economy. Never mind the lives you’ll continue to sacrifice.   A morally and intellectually bankrupt movement, full of morally and intellectually bankrupt people. https://t.co/PdJ64N4B4h"
g,0,"With COVID-19 news changing every day, we have created this file to keep you up-to-date on all the latest stories and information in and around Edmonton. #Yeg  #COVID19  https://t.co/Vw3OSsQ4Md"
i,0,@Servedcold7 @MartinKulldorff Europe is getting hit hard because of their low vaccination rates and lack of restrictions.
g,0,Got questions about the impacts of COVID on the City budget? How has the City avoided increasing property taxes to cover the lost revenue and increased costs due to the pandemic? Reply with your questions and we’ll answer the top ones later this week. #yegcc #yegcitybudget https://t.co/JGludvS1dT
g,0,Kenney says targeted public health measures and rising vaccination rates have helped slow the spread
g,0,"With COVID-19 news changing every day, we have created this file to keep you up-to-date on all the latest stories and information in and around Edmonton. #Yeg  #COVID19  https://t.co/Vw3OSsQ4Md"
p,0,"#WATCH: ""Scientists have made sure the vaccine is very safe for children,"" says Premier Legault, announcing details of Quebec’s rollout for COVID-19 vaccinations for children aged 5 to 11, beginning Wednesday in vaccination centers.  @francoislegault  https://t.co/3Fj1XiF43i"
i,0,She said there’s a thorough process before they report a death as a Covid death
c,-,"@melissajonesTO And when I searched pharmacies on the website, it gave me a bunch of options which all specifically listed 5-11 paediatric Pfizer, but when I go to the websites for those pharmacies, they all don't have it. Sync your website with actual info, TPH &amp; OnMed! GAH..."
o,-,"It’s disheartening the supports available for long covid are exactly what I needed after a 3 wk hospitalization from DM 3 yrs ago, and much of what they are using I discovered on my own because I was determined to beat my diagnosis.  #thankful #patience #getwellsoon"
c,-,"Kenney says it would be unfair to exclude kids and stigmatize them, in particularly given the low risk they face with COVID."
o,0,They have no idea what they’ve signed up for (dummies)! https://t.co/88dvXeNOqH
c,0,Australia climbs world rankings in vaccination rates https://t.co/QzMpCEOqjO #COVID19 #Covidiot #Covid #COVID19AB #Covid_19 #coronavirus #CoronaCapital2021 #Corona #CoronavirusUpdates #COVID19Vaccine #vaccinated #VaccineMandate #VaccineMandates #yyz
p,0,ICYMI: @GovCanHealth has authorized the use of the Pfizer-BioNTech Comirnaty #COVID19 vaccine in children ages 5 to 11: https://t.co/JVIJT9AqAn.   Visit https://t.co/gkNHKteeY7 to learn more about the next phase of Manitoba's vaccine campaign. #ProtectMB #COVID19MB #Manitoba https://t.co/i0nkK5js4J
3,0,"Society Of Obstetricians And Gynaecologists Funded By Pfizer, Recommends Vaccines &amp; Boosters https://t.co/wa9kFD5Gl7"
o,0,"@USAenFrancais @USComoros Great. Is it possible to get the list of countries  and the manufacturer (pfizer, moderna...)? Knowing that  it will be difficult for some countries to store them properly.  Hoping J&amp;J is among them. Good job! Vaacine is the main way to end this for everybody."
i,-,BREAKING:   Alberta reports that a child under 2-years old has died with COVID as a contributing cause.   Hinshaw says child had complex medical conditions. that played a significant role.   #yeg #yyc #Ableg #covid19ab
c,0,@bkives @CBCMarina Wow...whats the latest vaccination date?
p,0,A children's COVID-19 vaccine is now approved in Canada. What do we know about it?   CBC News https://t.co/KiEX7cABGW
c,0,@melissajonesTO I actually called a couple because their booking forms didn't mention anything about the paediatric Pfizer despite what the Ontario Covid website said.  They sounded mystified as to why the site listed them and confirmed that they didn't receive any doses to give out rn.
g,0,@MsBehavior @WabKinew @Mayor_Bowman @JustinTrudeau @CPHO_Canada @roussin_brent Conspiracy theories that just happen to be coming true. Experts that are bought and paid for by Pfizer. I'll keep my immune system. It hasn't failed me in 21 months. Enjoy your cold/flu vaxx.   Try doing some research on the information super highway. Instead of listening to MSM https://t.co/dPIGMF8ZTl
o,0,Mostly because the guy asked like 7 questions in a row at the PC and 5 of them had to do with Mandrusiak getting let go. While that was an obvious trainwreck of a move it wasnt the only or most glaring. The vaccination fiasco was a major indication
